Name,URL
"Surya, Sun God",https://www.un.org/ungifts/surya-sun-god
Portrait of Kurt Waldheim,https://www.un.org/ungifts/portrait-kurt-waldheim
Vienna Café,https://www.un.org/ungifts/vienna-caf%C3%A9
Bambara,https://www.un.org/ungifts/bambara
Polynesia: The Sky ,https://www.un.org/ungifts/polynesia-sky-le-ciel
A La Unidad Humana ,https://www.un.org/ungifts/la-unidad-humana-human-unity
Sleeping Child,https://www.un.org/ungifts/sleeping-child
Replica of Dove of Peace,https://www.un.org/ungifts/replica-dove-peace
Landscape with United Nations Headquarters Building,https://www.un.org/ungifts/landscape-united-nations-headquarters-building
Quiet Room,https://www.un.org/ungifts/quiet-room
Embrace of Peace,https://www.un.org/ungifts/embrace-peace
Plaque Commemorating Panama Congress,https://www.un.org/ungifts/plaque-commemorating-panama-congress
Replica of The Codes of Hammurabi,https://www.un.org/ungifts/replica-codes-hammurabi
"The Golden Record, The Sounds of Earth",https://www.un.org/ungifts/golden-record-sounds-earth
Sculptural Relief Depicting the Goddess Ishtar,https://www.un.org/ungifts/sculptural-relief-depicting-goddess-ishtar
Bust of Pablo Casals,https://www.un.org/ungifts/bust-pablo-casals
Bust of Padre Francisco de Vitoria,https://www.un.org/ungifts/bust-padre-francisco-de-vitoria
The God Osiris,https://www.un.org/ungifts/god-osiris
Der Flötenspieler,https://www.un.org/ungifts/der-fl%C3%B6tenspieler
Sculpture Khmere,https://www.un.org/ungifts/content/sculpture-khmere
Porcelain Vase ,https://www.un.org/ungifts/porcelain-vase-showing-united-nations-and-hungarian-house-parliament
Der Aufsteigende ,https://www.un.org/ungifts/der-aufsteigende-rising-man
Portrait of Dag Hammarskjöld,https://www.un.org/ungifts/portrait-dag-hammarskj%C3%B6ld-1
The Great Wall,https://www.un.org/ungifts/great-wall-0
White Silence,https://www.un.org/ungifts/white-silence
Coffee Pot,https://www.un.org/ungifts/coffee-pot
Replica of Sebastocrator Kaloyan and his wife Desislava,https://www.un.org/ungifts/replica-sebastocrator-kaloyan-and-his-wife-desislava
Renovated Secretary-General Suite: Conference/Dining Room,https://www.un.org/ungifts/renovated-secretary-general-suite-conferencedining-room
UN Charter preamble on Moon,https://www.un.org/ungifts/content/UN-charter-preamble-on-moon
Titans,https://www.un.org/ungifts/titans
Marble Plaque dedicated to Benito Juarez,https://www.un.org/ungifts/marble-plaque-dedicated-benito-juarez
Portrait of U Thant,https://www.un.org/ungifts/portrait-u-thant
Brotherhood,https://www.un.org/ungifts/brotherhood
"Replica of ""Edict of Cyrus""",https://www.un.org/ungifts/replica-edict-cyrus
Replica of Fallen Astronaut,https://www.un.org/ungifts/content/replica-of-fallen-astronaut
Bust of Polish Astronomer Nicolaus Copernicus,https://www.un.org/ungifts/bust-polish-astronomer-nicolaus-copernicus
Tree in Blossom ,https://www.un.org/ungifts/tree-blossom-carpet
Maagala Tuubaa,https://www.un.org/ungifts/maagala-tuubaa-pilgrimage-touba
Replica of Peace Treaty between Hattusilis and Ramses II,https://www.un.org/ungifts/replica-peace-treaty-between-hattusilis-and-ramses-ii
Moon Rock,https://www.un.org/ungifts/content/moon-rock
Amphora,https://www.un.org/ungifts/amphora
Ode to Man,https://www.un.org/ungifts/ode-man
Untitled (Abstract Painting),https://www.un.org/ungifts/untitled-abstract-painting
Replica of Anyanwu,https://www.un.org/ungifts/replica-anyanwu
The Heart of the Andes,https://www.un.org/ungifts/heart-andes
Monument to Mrs. Eleanor Roosevelt,https://www.un.org/ungifts/monument-mrs-eleanor-roosevelt
Portrait of Dag Hammarskjöld,https://www.un.org/ungifts/portrait-dag-hammarskj%C3%B6ld
Five Continents,https://www.un.org/ungifts/five-continents-clasped-hands
Rice Cultivators of Ceylon,https://www.un.org/ungifts/rice-cultivators-ceylon
Memorial Stairway and Flagpole,https://www.un.org/ungifts/memorial-stairway-and-flagpole
Christ Crucified,https://www.un.org/ungifts/christ-crucified
Peace Window,https://www.un.org/ungifts/peace-window
Single Form ,https://www.un.org/ungifts/single-form-memory-dag-hammarskj%C3%B6ld
Bronze Bust of Eleanor Roosevelt,https://www.un.org/ungifts/content/bronze-bust-of-eleanor-roosevelt
Replica of the Obelisk of Aksum,https://www.un.org/ungifts/replica-obelisk-aksum
Mosaic Panel,https://www.un.org/ungifts/mosaic-panel
Bust of Chief Hosea Kutako,https://www.un.org/ungifts/bust-chief-hosea-kutako
Monument de l'Union Postale Universelle à Berne,https://www.un.org/ungifts/monument-de-lunion-postale-universelle-%C3%A0-berne
El Pescador del Chuy,https://www.un.org/ungifts/el-pescador-del-chuy
Composition for Concave Wall,https://www.un.org/ungifts/composition-concave-wall
Relational Painting No. 90,https://www.un.org/ungifts/relational-painting-no-90
Abstract Sculpture,https://www.un.org/ungifts/abstract-sculpture
Mosaic of the Four Seasons,https://www.un.org/ungifts/mosaic-four-seasons
Kente Wall Hanging with the theme: One Head Cannot Go Into Council,https://www.un.org/ungifts/kente-wall-hanging-theme-one-head-cannot-go-council
Portrait of Trygve,https://www.un.org/ungifts/portrait-trygve-lie
Untitled,https://www.un.org/ungifts/untitled-abstract-sculpture
Replica of Palenque Head,https://www.un.org/ungifts/content/replica-of-palenque-head
Composition en vert et bleu ,https://www.un.org/ungifts/composition-en-vert-et-bleu-composition-green-and-blue
Tapestry after “Femme sur L’echelle”,https://www.un.org/ungifts/content/tapestry-after-Femme-sur-Lechelle
Lady with Twin Braided Hair,https://www.un.org/ungifts/content/lady-with-twin-braided-hair
Let Us Beat Swords Into Ploughshares,https://www.un.org/ungifts/let-us-beat-swords-ploughshares
Life size model of the first Russian Sputnik,https://www.un.org/ungifts/life-size-model-first-russian-sputnik
Meditation Room,https://www.un.org/ungifts/meditation-room
War and Peace (War),https://www.un.org/ungifts/war-and-peace-war
Tapestry after “Femme sur L’echelle” ,https://www.un.org/ungifts/war-and-peace-peace
Ceremonial Mantle from the Paracas Culture,https://www.un.org/ungifts/ceremonial-mantle-paracas-culture
UN Site Model of 1956,https://www.un.org/ungifts/un-site-model-1956
Foucault Pendulum,https://www.un.org/ungifts/foucault-pendulum
Torch of Hope,https://www.un.org/ungifts/torch-hope
Peace and Prosperity (Prosperity),https://www.un.org/ungifts/peace-and-prosperity-prosperity
Peace and Prosperity (Peace),https://www.un.org/ungifts/peace-and-prosperity-peace
Peace Monument,https://www.un.org/ungifts/peace-monument
Lion Head Furniture,https://www.un.org/ungifts/lion-head-furniture
Triumph of Peace,https://www.un.org/ungifts/triumph-peace
The Japanese Peace Bell and Garden,https://www.un.org/ungifts/japanese-peace-bell-and-garden
Jehangir and Nur Jehan,https://www.un.org/ungifts/jehangir-and-nur-jehan
Trusteeship Council Chamber,https://www.un.org/ungifts/trusteeship-council-chamber
Portrait of Abraham H. Feller,https://www.un.org/ungifts/content/portrait-of-abraham-feller
Plaque for Abraham Feller Reading Room,https://www.un.org/ungifts/content/plaque-for-abraham-feller-reading-room
Mankind and Hope,https://www.un.org/ungifts/mankind-and-hope
Nickel & Bronze Entrance Doors,https://www.un.org/ungifts/nickel-bronze-entrance-doors
Rimu Wood Paneling,https://www.un.org/ungifts/rimu-wood-paneling
Lacewood Paneling,https://www.un.org/ungifts/lacewood-paneling-australian-walnut
Mankind’s Struggle for a Lasting Peace,https://www.un.org/ungifts/mankind%E2%80%99s-struggle-lasting-peace
Poseidon of Artemision,https://www.un.org/ungifts/poseidon-artemision
Isfahan Persian Rug,https://www.un.org/ungifts/isfahan-persian-rug
Economic and Social Council Chamber,https://www.un.org/ungifts/economic-and-social-council-chamber
Gavels,https://www.un.org/ungifts/gavels
"Mural, West Wall (Bugs Bunny)",https://www.un.org/ungifts/mural-west-wall-bugs-bunny
Conference Room 8,https://www.un.org/ungifts/conference-room-8
Untitled (Mural for Peace),https://www.un.org/ungifts/untitled-mural-peace
Security Council Chamber,https://www.un.org/ungifts/security-council-chamber-0
"Mural, East Wall (Scrambled Eggs)",https://www.un.org/ungifts/mural-east-wall-scrambled-eggs
Black Pebbles,https://www.un.org/ungifts/black-pebbles
Fountain,https://www.un.org/ungifts/fountain
African Procession,https://www.un.org/ungifts/content/african-procession
Three Rosashi Embroideries,https://www.un.org/ungifts/content/three-rosashi-embroideries01
